Restaurant,Cuisine,Rating,PriceRange,Value,Tried,Thoughts,Would I Return,Website,Phone,address,neighborhood,Location,Latitude,Longitude
Minetta Tavern,american,0,$$$,expensive,$26 Black Label Burger,i loved the fries.  crunchy and crispy.  not enough caramlized onions...didn't love the burger but maybe b/c there wasn't any cheese?,didn't even pay and i was still pissed about the calories,http://www.minettatavernny.com,(212) 475-3850,113 MacDougal St,NoHo,New York,40.729995,-74.000638
New Wonjo Restaurant,korean,1,$$$,overpriced,beef octopus casserole,"bland, small portion, octopus was overcooked",NO,http://www.newwonjo.com,(212) 695-5815,23 W 32nd St, ,New York,40.747822,-73.986738
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com/,(718) 507-6387,123-01 Roosevelt Ave, ,New York,40.757761,-73.845654
Giordano's,Deep Dish,1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com/,(312) 842-1100,1340 S Michigan Ave,Near South Side,Chicago,41.864539,-87.62438
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 557-7992,109 E 42nd St,Midtown South,New York,40.751953,-73.976458
Calexico,mexican,1,$$,expensive,"baja fish taco, la ? taco","lots of breading, little meat.  tacos were pretty good flavor wise but nothing special",no,http://www.calexicocart.com/,(718) 488-8226,122 Union St,South Brooklyn,Brooklyn,40.684188,-74.002527
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 956-2668,625 9th Ave,Midtown West,New York,40.759937,-73.991698
India House Restaurant,indian,1,$$$,pricey,"garlic naan, saag paneer, chicken kebab","saag was pretty good, chicken was a bit dry.  service was terrible--food took like 35 minutes to arrive, took forever to order, get check, etc",no,http://www.indian-garden.com/,(773) 338-2929,2548 W Devon Ave,West Ridge,Chicago,41.997804,-87.694096
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 777-2668,113 E 2nd St,Downtown,New York,40.723344,-73.986971
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 280-2668,2547 Broadway,West Side,New York,40.79427,-73.972222
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 734-0317,1617 2nd Ave,Upper East Side,New York,40.776514,-73.952828
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://twoboots.com/TW2008/Les08/Les08.html,(212) 228-8685,228 Grand St,Loisaida,New York,40.719306,-73.985906
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 777-1033,74 Bleecker St,Soho,New York,40.726474,-73.995782
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 633-9096,201 W 11th St, ,New York,40.736706,-74.00148
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 254-1919,42 Avenue A, ,New York,40.723692,-73.985059
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 633-9096,201 W 11th St,Meat Packing District,New York,40.736663,-74.001435
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(646) 822-1093,42 Avenue A,Downtown,New York,40.723691,-73.985116
Big Wong Restaurant,chinese,1,$,cheap,"chashaorou, zhou","chashaorou is good, shouroupidanzhou is good; everything else here sucks",no,http://bigwongking.com/,(212) 964-0540,67 Mott St,Little Italy,New York,40.71626,-73.998231
Yum Yum 3,thai,1,$$,pricey,drunken noodles w/chicken,"good, but nothing special.  restaurant had like zero AC, waitresses rec'd most expensive things on the menu...",no,http://www.yumtoo.com,(212) 247-2228,662 9th Ave,Midtown,New York,40.760906,-73.990602
ACME Oyster House,cajun/creole,1,$$,average,"gumbo, jumbalaya, shrimp etouffee; charbroiled oysters","meh.  everything was cheaply made.  lots of rice.  charbroiled oysters were tasty, but it was oysters soaked in butter, parmesan, and garlic...",no,http://www.acmeoyster.com/,(504) 522-5973,724 Iberville St,Vieux Carre,New Orleans,29.954383,-90.068772
ACME Oyster House,cajun/creole,1,$$,average,"gumbo, jumbalaya, shrimp etouffee; charbroiled oysters","meh.  everything was cheaply made.  lots of rice.  charbroiled oysters were tasty, but it was oysters soaked in butter, parmesan, and garlic...",no,http://www.harrahsneworleans.com/restaurants/acme-oyster-house.html#.Uha23RasjzI,(504) 708-2409,228 Poydras St,Vieux Carre,New Orleans,29.948227,-90.065624
Shanghai Asian Cuisine,chinese,1,$,cheap,xiaolongbaozis ,everything else here is pretty bad except for the xiaolongbao which are good,no,http://local.yahoo.com/info-11066491-shang-hai-cuisine-new-york,(212) 732-8988,89 Bayard St, ,New York,40.715845,-73.999232
PioPio,Latin American,1,$,average,"Chicken, rice and saffron beans, cilantro chicken soup","soup was not bad, chicken was good but just like a rotisserie chicken",no,http://www.piopio.com,(212) 459-2929,604 10th Ave,Midtown West,New York,40.760559,-73.994467
PioPio,Latin American,1,$,average,"Chicken, rice and saffron beans, cilantro chicken soup","soup was not bad, chicken was good but just like a rotisserie chicken",no,http://www.piopio.com,(212) 481-0034,210 E 34th St,Kips Bay,New York,40.745406,-73.977722
PioPio,Latin American,1,$,average,"Chicken, rice and saffron beans, cilantro chicken soup","soup was not bad, chicken was good but just like a rotisserie chicken",no,http://www.piopionyc.com,(212) 426-5800,1746 1st Ave,Carnegie Hills,New York,40.779669,-73.947148
Moti Mahal Deluxe,Indian,1,$$,fair,veg and non veg lunch special (buffet),"service was SO slow.  naan was not good, lamb was tough.  other stuff was pretty good but nothing great",no,http://www.motimahaldelux.us/,(212) 371-3535,1149 1st Ave,Roosevelt Island,New York,40.76209,-73.960423
Taiwan Cafe,chinese,1,$,not good at all ,"mapo tofu, liangmianhuang, xiaolongbao",only the xiaolongbao were decent,no,http://taiwancafeboston.com/,(617) 426-8181,34 Oxford St,Leather District,Boston,42.351477,-71.060276
Calexico,mexican,1,$$,expensive,"baja fish taco, la ? taco","lots of breading, little meat.  tacos were pretty good flavor wise but nothing special",no,http://www.calexicocart.com,(347) 763-2129,645 Manhattan Ave,North Side,Brooklyn,40.724167,-73.951155
Calexico,mexican,1,$$,expensive,"baja fish taco, la ? taco","lots of breading, little meat.  tacos were pretty good flavor wise but nothing special",no,http://calexico.net,(347) 254-7644,278 5th Ave,Park Slope,Brooklyn,40.674165,-73.982329
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(773) 947-0200,5311 S Blackstone Ave,South Side,Chicago,41.799165,-87.590314
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(773) 275-4600,2010 W Montrose Ave,Ravenswood,Chicago,41.961553,-87.679558
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com/,(773) 262-1313,6836 N Sheridan Rd,North Edgewater,Chicago,42.006458,-87.661379
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(773) 736-5553,5927 W Irving Park Rd,Northwest Side,Chicago,41.952884,-87.775474
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com/,(312) 616-1200,135 E Lake St,New Eastside,Chicago,41.885602,-87.623529
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(773) 585-6100,6314 S Cicero Ave,West Lawn,Chicago,41.778042,-87.742571
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(773) 862-4200,2855 N Milwaukee Ave,North Side,Chicago,41.933234,-87.714042
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(312) 583-9400,223 W Jackson Blvd,Loop,Chicago,41.878072,-87.634663
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com/,(773) 239-5000,9613 S Western Ave,Far Southwest Side,Chicago,41.718693,-87.681829
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(773) 582-7676,5159 S Pulaski Rd,West Elsdon,Chicago,41.799048,-87.722964
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com/,(312) 421-1221,815 W Van Buren St,Greektown,Chicago,41.876372,-87.647899
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(312) 951-0747,56 E Superior St,Kinzies Addition,Chicago,41.895774,-87.626076
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(312) 951-0747,730 N Rush St,Streeterville,Chicago,41.895828,-87.625672
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://giordanos.com/location/navy-pier/,(312) 288-8783,700 E Grand Ave, ,Chicago,41.891434,-87.608093
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(773) 947-0200,5309 W Irving Park Rd,Northwest Side,Chicago,41.953271,-87.759874
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://www.giordanos.com,(312) 939-4646,20 E Jackson Blvd,Printer's Row,Chicago,41.87823,-87.626909
Giordano's,pizza (deep dish),1,$$,-,cheese and deluxe,meh--too much dough.  lou malnatis all the way,no,http://giordanos.com/location/andersonville/,(773) 989-7449,5207 N Clark St,Far North Side,Chicago,41.976494,-87.668189
India House Restaurant,indian,1,$$$,pricey,"garlic naan, saag paneer, chicken kebab","saag was pretty good, chicken was a bit dry.  service was terrible--food took like 35 minutes to arrive, took forever to order, get check, etc",no, ,(773) 465-4971,2546 W Devon Ave,West Ridge,Chicago,41.997795,-87.694065
India House Restaurant,indian,1,$$$,pricey,"garlic naan, saag paneer, chicken kebab","saag was pretty good, chicken was a bit dry.  service was terrible--food took like 35 minutes to arrive, took forever to order, get check, etc",no,http://www.indiahousechicago.com,(312) 645-9500,59 W Grand Ave,River North,Chicago,41.891588,-87.630324
Fogo de Chao,Brazillian Steakhouse,1,$$$$$,expensive,"salad bar, filet mignon, lamb chops, chicken legs, pork rib, leg of lamb","pork rib, chicken leg, and filet mignon were my favs.  salad bar was atrocious",no,http://www.fogodechao.com,(312) 932-9330,661 N La Salle Dr,Wolcotts and Bushnells Additions,Chicago,41.894143,-87.632451
La Carbonara,italian,1,$$,above average,lamb shank,"pretty good, but only not bad because the portion was so bi.  nothing memorable",no,http://www.lacarbonaranyc.com/,(212) 255-2060,202 W 14th St,Chelsea,New York,40.738625,-74.000232
Shanghai Asian Cuisine,chinese,1,$,cheap,xiaolongbaozis ,everything else here is pretty bad except for the xiaolongbao which are good,no,http://shanghaiasiancuisine.com,(212) 964-5640,14 Elizabeth St,Lower Manhattan,New York,40.715893,-73.997343
Pure Thai Cookhouse,Thai,1,$$,pricey b/c nyonya exists,"wok basil w/chicken, jungle curry fried rice, shrimp pad thai, pad kee moa w/calamari","calamari was perfectly cooked (dish itself pretty good); shrimp pad thai too sweet and cloying, shrimp overcooked; basil chicken pretty good; jungle curry spicy rice and bland chicken",no,http://www.purethaishophouse.com,(212) 581-0999,766 9th Ave,Hell's Kitchen,New York,40.764272,-73.988217
E-Mo,Korean,1,$$,what a ripoff,mushroom kimbap,ok,no, ,(212) 594-1466,2 W 32nd St,Flatiron District,New York,40.747224,-73.986053
Menkui Tei,ramen,1,$$,-,veg ramen,"ramen was a little overcooked by the end, veggies came out a little undercooked",no,http://www.menkuitei.com,(212) 757-1642,60 W 56th St,East Side,New York,40.763165,-73.977149
Menkui Tei,ramen,1,$$,-,veg ramen,"ramen was a little overcooked by the end, veggies came out a little undercooked",no,http://www.menkuitei.com,(212) 228-4152,63 Cooper Sq, ,New York,40.729056,-73.990175
Donburiya,japanese,1,$,average,eel bowl,"good, but not much eel",no,http://www.donburiyany.com,(212) 980-7909,137 E 47th St,Midtown,New York,40.754507,-73.973096
City Sandwich,sandwiches (lunch spot),1,$$,expensive,"shrimp sandwich, popped chips, vegan cookies, ",vegan cookies were really good but $4 for 4 quarter sized ones abt a cm tall.  not enough stuffing.  people were super nice and considerate,no,http://www.citysandwichnyc.com,(646) 684-3943,649 9th Ave,Theatre District,New York,40.76063,-73.991167
Balaboosta,mediterranean,1,$$$,small portions,"crispy cauliflower, celergy root and potato kale pesto gnocchi",i think my gnocchi was supposed to come with kale chips...caulfower was good but it was deep fried so how could it not/did not taste like cauliflower.  got takeout for ops duty.  thank god i didn't pay for this,no,http://balaboostanyc.com/,(212) 966-7366,214 Mulberry St,Nolita,New York,40.722026,-73.996194
Cafe Asean,thai,1,$$,overpriced,duck spring roll; tried the green curry and pad see ew? ,not bad but nothing close to being memorable,no,http://www.cafeasean.com,(212) 633-0348,117 W 10th St,Downtown,New York,40.734807,-73.999501
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com/,(212) 777-2668,176 E 3rd St,East Village,New York,40.722901,-73.984137
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 956-2668,625 9th Ave, ,New York,40.759866,-73.991698
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 557-7992,Grand Central Terminal,Murray Hill,New York,40.752872,-73.977116
Two Boots,pizza,1,$$,average,sausage; bbq chicken; ,"nothing special, dont like the dough all that much, but its not bad.  ",no,http://www.twoboots.com,(212) 777-1033,74 Bleecker St,Nolita,New York,40.726449,-73.995737
Taqueria Diana,mexican,1,$,pricey,rajas and al pastor tacos ,"rajas was poblanos and corn w/some cheese sprinkled on it; al pastor had 2 little cubes of pineapple.  didn't like the tortilla much--not v. thick white corn tortilla that was dry and hard.  flavoring was not bad, pretty good amount of filling, ",no,http://www.taqueriadiana.com,(646) 422-7871,129 2nd Ave,Downtown,New York,40.728454,-73.987989
Taqueria Diana,mexican,1,$,pricey,rajas and al pastor tacos ,"rajas was poblanos and corn w/some cheese sprinkled on it; al pastor had 2 little cubes of pineapple.  didn't like the tortilla much--not v. thick white corn tortilla that was dry and hard.  flavoring was not bad, pretty good amount of filling, ",no, ,(646) 657-0257,601 Avenue Of The Americas, ,New York,40.73951,-73.995256
Sanraku,japanese,1,$$,average,Arajiru - Japanese bouillabaisse and grilled squid,"soup was good, but tiny.  squid was good",no,http://www.sanraku.com/,(415) 369-6166,101 4th St,Union Square,San Francisco,37.784259,-122.403345
Sanraku,japanese,1,$$,average,Arajiru - Japanese bouillabaisse and grilled squid,"soup was good, but tiny.  squid was good",no,http://www.sanraku.com,(415) 771-0803,704 Sutter St,Union Square,San Francisco,37.78884,-122.41208
Taqueria La Fondita #2,mexican,1,$,so cheap,"special burrito, fish/lengua/cabeza/chicken/pork tacos","burrito was disappointing (just chicken and rice), tortilla was a bit dry/soggy, cabeza bit fatty, chicken tacos not bad.  not enough salsa",no, ,(206) 551-0529,9811 15th Ave SW,White Center,Seattle,47.515234,-122.354294
Zaytinya,Turkish/Greek/Lebanese,1,$$$,robbery,"brussel sprouts, lamb bahar, butternut squash hummus, eggplant, GARIDES ME ANITHO (shrimp)","disappointing, everything was good, but nothing stood out; service was great.  shrimp was SO overcooked and just tasted like butter -_- tabouleh was good, brussel sprouts were good; desserts were interesting and good.",no,http://www.zaytinya.com,(202) 638-0800,701 9th St NW,Downtown,Washington,38.898969,-77.02358
District Taco,mexican,1,$,fair,i got 6 tacos...one of every type and the special shrimp,"only the shrimp was good and maybe b/c i added chorizo.  tortillas tasted like the regular store brand, meat was bland, steak was tough",no,http://www.districttaco.com/,(202) 735-5649,656 Pennsylvania Ave SE,Eastern Market,Washington,38.885065,-76.996865
District Taco,mexican,1,$,fair,i got 6 tacos...one of every type and the special shrimp,"only the shrimp was good and maybe b/c i added chorizo.  tortillas tasted like the regular store brand, meat was bland, steak was tough",no,http://www.districttaco.com/,(202) 888-9898,1919 M St NW,Dupont Circle,Washington,38.905849,-77.044241
District Taco,mexican,1,$,fair,i got 6 tacos...one of every type and the special shrimp,"only the shrimp was good and maybe b/c i added chorizo.  tortillas tasted like the regular store brand, meat was bland, steak was tough",no,http://www.districttaco.com,(202) 347-7359,1309 F St NW,Penn Quarter,Washington,38.897464,-77.030138
Bombay Pizza Co.,thin crust pizza,1,$$,bit pricey,"1/2 saag paneer, 1/2 gateway to india","not bad, but was not what i was expecting.  not a big fan.  cracker thin crust",no,http://www.bombaypizzaco.com,(713) 654-4444,914 Main St,Downtown,Houston,29.757731,-95.364724
Bombay Sandwich Co,indian,1,$,average,sweet potato sandwich,bland.  so bland,no,http://www.bombaysandwichco.com/,(646) 781-9756,48 W 27th St,Flatiron District,New York,40.745061,-73.990397
Oyamel Mexican Cuisine,mexican,3,$$$,expensive,"tacos: al pastor, grasshopper, chicken, steak?  chicken enchilada",only part of the tacos that was good was the tortilla.  nothing stood out and tiny tacos,probably not,http://www.oyamel.com,(202) 628-1005,401 7th St NW,Chinatown,Washington,38.894918,-77.021781
Vander Bar,American (New); Bar,3,$$,overpriced,short rib reuben,"not bad, nothing special.  came w/fries.  sandwich was small and a little cold",probably not,http://www.vanderbar.com,(212) 885-6131,45 E 45th St,Midtown West,New York,40.754497,-73.977266
Vander Bar,American (New); Bar,3,$$,overpriced,short rib reuben,"not bad, nothing special.  came w/fries.  sandwich was small and a little cold",probably not,http://www.vanderbar.com,(212) 885-6131,Vanderbilt Ave, ,New York,40.754455,-73.977002
Obao,thai,3,$$$,not bad,"thai basil chicken, curry chicken, beef pad see-ew, daikon cakes","chicken dishes were nothing special, pretty meh, but at least lots of chicken.  pad see ew was alright, daikon cake was pretty good",probably not,http://www.obaonyc.com,(212) 308-5588,222 E 53rd St, ,New York,40.757128,-73.968612
Obao,thai,3,$$$,not bad,"thai basil chicken, curry chicken, beef pad see-ew, daikon cakes","chicken dishes were nothing special, pretty meh, but at least lots of chicken.  pad see ew was alright, daikon cake was pretty good",probably not,http://www.eatemberroomnyc.com,(212) 245-8880,647 9th Ave,Midtown,New York,40.760609,-73.99124
Obao,thai,3,$$$,not bad,"thai basil chicken, curry chicken, beef pad see-ew, daikon cakes","chicken dishes were nothing special, pretty meh, but at least lots of chicken.  pad see ew was alright, daikon cake was pretty good",probably not, ,(212) 361-6311,38 Water St,Lower Manhattan,New York,40.703303,-74.010628
Ilili Box,mediterranean,3,$$,expensive,ilili's takeout spot--got duck schwarma and brussel sprouts,"duck schwarma flavor changed, brussel sprouts were good but loaded with sauce",unlikely,http://www.ililibox.com,(917) 338-0925,700 8th Ave, ,New York,40.758737,-73.98857
Wogies,sports bar,3,$,average,chicken cheesesteak w/provolone,chicken was dry but the bread was amazing.  cheesesteak was a bit light for the price,probly not,http://www.wogies.com,(212) 785-2838,44 Trinity Pl,Financial District,New York,40.707336,-74.013346
Wogies,sports bar,3,$,average,chicken cheesesteak w/provolone,chicken was dry but the bread was amazing.  cheesesteak was a bit light for the price,probly not,http://wogies.com,(212) 229-2171,39 Greenwich Ave, ,New York,40.735377,-74.000548
Sprinkles,cupcakes,3,$,pricey.  but i didn't pay for it,Pumpkin cupcake with cinnamon frosting ,solid cupcake.  lots of frosting,i don't pay for cupcakes,http://www.sprinkles.com,(212) 207-8375,780 Lexington Ave,Sutton Place,New York,40.763213,-73.967607
Le Midi Bar & Restaurant,french,3,$$$,-,mussels and scallop apps,"had scoutmob deal.  mussels were $14, scallops were $12?.  i liked this place -- SO much space and the service was great.  scallops were v. good, mussels didn't taste fresh",unlikely,http://www.lemidinyc.com/,(212) 255-8787,11 E 13th St,Downtown,New York,40.735067,-73.993269
Little Goat Diner,American (New),3,$$,average,"korean and mushroom goat burgers, pb&j pie","mushroom burger was cooked medium, korean was med rare -- korean had better bun, mushroom was good by liquidy; pb&j pie is AMAZING -- peanut butter/jelly taste not overpowering and perfect combo",unlikely,http://littlegoatchicago.com/,(312) 888-3455,820 W Randolph St,Greektown,Chicago,41.884555,-87.648411
Maimonide of Brooklyn (M.O.B.),vegan/veg,3,$$,seemed kind of pricey b/c small portions,ironman MOB,basically oily kale salad w/mushrooms; flatbread part was pretty good by itslef,unlikely,http://www.mob-usa.com,(718) 797-2555,525 Atlantic Ave,Park Slope,Brooklyn,40.685289,-73.980108
